nome,votos
JOSÉ PINTO DE LUNA,17446
JOSÉ RENAN VASCONCELOS CALHEIROS FILHO,65947
MAURÍCIO QUINTELLA MALTA LESSA,89314
PAULO FERNANDO DOS SANTOS,118846
WELLINGTON RODRIGUES FRAGOSO,11112
ALEXANDRE DE MELO TOLEDO,111761
ARTHUR CESAR PEREIRA DE LIRA,67616
FERNANDO JOSE REZENDE DE BARROS,11142
HENRIQUETA EVA CARDEAL,3752
JOSE ROBSON ALVES DA SILVA,631
ARANILDO DE VASCONCELOS ELISIÁRIO,2343
GIVALDO DE SÁ GOUVEIA,93360
JURANDIR BOIA ROCHA,53103
RUI SOARES PALMEIRA,107574
JOÃO CALDAS DA SILVA,36552
JAMISON RODRIGUES DA SILVA,7260
IVAN GALDINO DA SILVA,6549
FABIO RANGEL NUNES DE OLIVEIRA,2136
JORGE VI LAMENHA LINS,39743
MARCIO FERNANDO LESSA MAGALHÃES,4597
ROSEANE CAVALCANTE DE FREITAS,28805
JOSÉ ALMIR BRITO DOS SANTOS,547
ANTONIO CARLOS DINIZ,2141
ELCIO JOSE DE SOUZA FERREIRA,445
EVANDRO COSTA GAMA,17487
JANETE MARIA GOES CAPIBERIBE,13933
JOEVA DOS REIS SILVA,377
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,10813
MARIA DALVA DE SOUZA FIGUEIREDO,11483
ALUIZO ROBERTO CAVALCANTE DA SILVA,1578
BARAQUE FAGUNDES DA SILVA,954
CONCEIÇÃO CORREA MEDEIROS,5731
DAVID SAMUEL ALCOLUMBRE TOBELEM,8597
EDVALDO DE AZEVEDO SOUZA,1533
EVANDRO COSTA MILHOMEM,24898
GIOVANNI TAVARES MACIEL FILHO,5663
HILDEMAR SOUZA DE AZEVEDO PICANÇO,3101
JUCERGIO MONTEIRO BENATHAR,1554
LUCIANO DOS SANTOS CARVALHO,3678
LUIZ ANTONIO FERREIRA MARANHÃO,1562
LUZIA BRITO GRUNHO,4697
MANOEL CARVALHO,1060
MARIA LUCENIRA FERREIRA OLIVEIRA PIMENTEL,12235
MARIA SOCORRO DA COSTA CONCEIÇÃO,6700
SEBASTIAO FERREIRA DA ROCHA,24945
WALCYR ALBERTO COSTA SANTOS,5032
ALLAN ROSAS SALES,4108
AMADEU FERREIRA DOS SANTOS,3573
ANTONIO DE DEUS NUNES DOS SANTOS,7990
CAMILO OLIVEIRA DE SOUZA,1483
DANIEL DOMINGOS DOS SANTOS,412
FATIMA LUCIA PELAES,29137
JURANDIL DOS SANTOS JUAREZ,25418
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,8761
MARIA CASSILDA BARRETO DE SOUZA,302
MIRAELSON COUTINHO TEIXEIRA ALVES,3381
NILTON LUIZ CABRAL TORK,2742
SILVINO ABRANTES ALMEIDA,836
VALCINETE FARIAS SANTANA,826
XAVIER LEAL SIQUEIRA,1363
CARLOS ANTONIO OLIVEIRA SANTOS,4807
JORGE FURTADO CORREA,1568
CLEYDSON SOUSA DO NASCIMENTO,557
JACKSON CARDOSO AMARAL,974
ANDRÉ DOS SANTOS ABDON,1161
ANTONIO CIRILO FERNANDES BORGES,456
ANTONIO DA JUSTA FEIJÃO,2938
BIRANILSON DOS SANTOS PALMEIRA,473
DARLEY DOS SANTOS TEIXEIRA FURTADO,1012
DOMINGOS SÁVIO DE SOUZA GUERREIRO,2565
EDUARDO SEABRA DA COSTA,3799
GERSON RANGEL DOS PASSOS,255
NELIO PEREIRA MARINHO,648
RICARDO SOUZA OLIVEIRA,2490
SEBASTIÃO NELSON SILVA DE SOUZA,6318
VINICIUS DE AZEVEDO GURGEL,4478
RUSSYERIANE SILVA DE LIMA,546
AROLDO RABELO DA SILVA FILHO,653
AMARILDO PORTO ARAUJO,136
ROSENILDA COSTA SECCU,252
ALTANIRA U ALMEIDA OLIVEIRA,6686
ANTONIO BISMAR DE LIMA CUNHA,1943
DARCY HUMBERTO MICHILES,46180
FRANCISCO EDINALDO PRACIANO,106922
JOSE HENRIQUE OLIVEIRA,81654
MARCELO AUGUSTO DA EIRA CORREA,104226
MARIA SOLANGE DE SOUZA QUEIROZ,1395
MASSAMI MIKI,75490
NOEMIA FERNANDES LEITE,2007
PAULO CARLOS DE CARLI,13142
PAULO HERBAN MACIEL JACOB FILHO,2304
GILBERTO VASCONCELOS DA SILVA,626
AUGUSTO FELIPE DE CASTRO,1273
ATILA SIDNEY LINS DE ALBUQUERQUE,75227
CARLOS ALBERTO CAVALCANTE DE SOUZA,42709
CARLOS ALEXANDRE FERREIRA SILVA,32279
DARLENE PEREIRA NEVES,1002
ERONILDO BRAGA BEZERRA,102238
FRANCISCO PLÍNIO VALÉRIO TOMAZ,57612
LUIZ FERNANDO SARMENTO NICOLAU,83754
MARCEL ALEXANDRE DA SILVA,180643
PAUDERNEY TOMAZ AVELINO,196002
RAIMUNDO SABINO CASTELO BRANCO MAUES,118309
REBECCA MARTINS GARCIA,83136
SILAS CAMARA,55806
HELILTON JOSE ANDRADE SOARES,1064
JANDERVAL VASCONCELOS DA COSTA,3573
SERGIO PAULO MONTEIRO LITAIFF,1263
ORLANDO CAMPOS TEIXEIRA,3127
JOSE AUGUSTO DE SOUZA RODRIGUES,5725
ELSON CELIO DA SILVA COSTA,1209
OSMAN BATISTA BARRETO,3713
DEUSAMIR PEREIRA,5700
ANA MARIA DOS SANTOS DE BRITO,1985
HOSANNAH SOUZA DE ALENCAR,1832
NAAHBILA MOREIRA DOS SANTOS,2187
JOSE MARIA NASCIMENTO COSTA,2140
ROBERTO CARLOS RIBEIRO PEREIRA,1134
VICTOR MONTEIRO LITAIFF,5825
JOSÉ SÁDIO JACMINUTH DE ALCANTARA,1668
TATIANA DOS SANTOS FERREIRA,2168
MARIA CLEIDE VIEIRA DA CUNHA SILVA,1727
ANTONIO CARLOS BORGES DOS SANTOS JÚNIOR,5732
ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO,350298
CLAUDIO CAJADO SAMPAIO,133602
FABIO LOUREIRO SOUTO,112933
FERNANDO DANTAS TORRES,127413
GERALDO TENUTA FILHO,44062
GERSON SILVA GABRIELLI,25975
JORGE KHOURY HEDAYE,186254
JOSÉ NUNES SOARES,88471
LUIZ ANTÔNIO VASCONCELOS CARREIRA,195070
OTÁVIO JOEL DE ARAÚJO,14142
PAULO SÉRGIO PARANHOS DE MAGALHÃES,89286
ANTONIO JOSE IMBASSAHY DA SILVA,55145
CORIOLANO SOUSA SALES,13624
GERVASIO BATISTA CAMPOS,8145
JOÃO ALMEIDA DOS SANTOS,106931
JUTAHY MAGALHÃES JÚNIOR,253054
MANOEL DE MOURA VASCONCELOS,16252
MARIVALDO BISPO DA PAIXÃO,1799
ROGERIO LEANDRO DE JESUS SANTOS,2071
SAULO PEDROSA DE ALMEIDA,19307
TEREZA CRISTINA GIFFONI VIEIRA,6125
ANTONIO WALDIR DOS SANTOS CONCEICAO,9216
ARISTOTELES MAIA SAMPAIO DE OLIVEIRA PINTO,6582
CELIA OLIVEIRA DE JESUS SACRAMENTO,3237
CLERISTON EDUAO FERREIRA,1351
EDIGAR EVANGELISTA DOS ANJOS,24341
GERALDO FRANCA DE SANTANA,3736
JULIANO SOUSA MATOS,22521
LANDISVALTH DOS SANTOS LIMA,9068
MARCOS LEONELI ESPINHEIRA,2223
ROSE MARIE VIANNA PRATES BASSUMA,16885
TARCISIO GAMA MACHADO,1030
TSYLLA MARIA BALBINO DE CARVALHO FERREIRA,26036
CESAR OLIVEIRA CARNEIRO,1536
FRANDERRAK DOS SANTOS MASCARENHAS,1081
RAIMUNDO NONATO DANTAS,1492
ANTONIA MAGALHAES DA CRUZ,96054
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,121567
ANTONIO PIMENTEL PEREIRA,14604
ARTHUR DE OLIVEIRA MAIA DA SILVA,184611
BENITO DA GAMA SANTOS,109819
CARLITO FERREIRA PEREIRA DOS SANTOS,3931
COLBERT MARTINS DA SILVA FILHO,117468
ERIVELTON LIMA SANTANA,95783
EVERALDO BISPO,14990
EZEQUIEL FLORENCIO PINHEIRO,1590
FRANCISCA INOCENCIA RODRIGUES,2898
GENEBALDO SOUZA CORREIA,54362
GIVALDO FIUZA DE ALMEIDA,1799
GRACA MARIA MASCARENHAS,1595
HERZEM GUSMAO PEREIRA,76371
JOAO CARLOS PAOLILO BACELAR FILHO,68723
JONATAS NUNES LOPES,833
JONIVAL LUCAS DA SILVA JUNIOR,34456
JOSE ALVES ROCHA,108665
JOSE EDUARDO DA SILVA,7025
JOSEVALDO OLIVEIRA DOS SANTOS,2775
KARLUCIA CRISOSTOMO MACEDO ANTONIO,8830
LUCIO QUADROS VIEIRA LIMA,73967
LUIZ CARLOS BRAITT SOARES,2221
MARCELO DE OLIVEIRA GUIMARÃES FILHO,59213
MATEUS FERREIRA DOS SANTOS,2023
MAURICIO GONÇALVES TRINDADE,75526
MILTON JOAO SOARES BARBOSA,6517
NONATO CARVALHO LEITE,2000
ORLANDO COLAVOLPE,5025
PAULO BRAGA MIRANDA,16544
PAULO ROBERTO BRITO,1251
PEDRO SOUZA DOS SANTOS,24270
RONIVON DE SOUZA,4838
ROSANGELA LIMA ROCHA,2068
SANDOVAL SOUZA GUIMARÃES,28646
SARA QUEIROZ DOS SANTOS,1582
SEGIO LUIS LACERDA BRITO,54860
SEVERIANO ALVES DE SOUZA,77460
VALDIR MARCELINO DOS SANTOS,2762
VALMIR DE FIGUEIREDO,4893
AGENOR RIBEIRO DE JESUS FILHO,22455
ALMIRO AURORA DA SILVA,2650
ANTONIO ALBINO LEAL DA SILVA,3019
ANTONIO CARLOS BOSCO MASSAROLLO,37164
ANTONIO CARLOS SILVA SANTOS,3597
ANTONIO JORGE RIBEIRO DE SANTANA,4287
CHE GUEVARA ANDRADE ORNELAS,542
DERIVALDO JESUS DE ANDRADE,973
EDNILTON OLIVEIRA FERREIRA,1652
ENIEDSON FERREIRA DOS SANTOS,1538
FRANCISCO DOREA MIRES,1687
FRANCISCO MARTINS ALENCAR,1305
GLICERIO RAMOS,1871
HARRISON FREITAS DE LIMA,1362
IVANDOILSON SANTOS ORRICO,2077
IVO BARRETO DO COUTO FILHO,877
IVO JOSE DOS SANTOS,751
JACIARA ZOZIMA DE OLIVEIRA SANTANA CHAGAS PARAISO,1349
JANIO NATAL ANDRADE BORGES,25679
JOAO ALCIDES REIS DE FREITAS,2884
JOCEVAL RODRIGUES DOS SANTOS,33101
JOSE ALVARO FRANÇA RIOS,13244
JOÃO CARLOS SOBRAL MARTINS,1075
LUCIANO FRED BRAGA PENHA,24457
MARA LUCIA PEREIRA ROLLO,965
MARIO CESAR DA SILVA LIMA,2659
NERIVALDO DO ESPIRITO SANTO DOS SANTOS,16725
NOEL PEDREIRA DOS SANTOS,3005
ORLANDO BARBOSA DOS SANTOS,1947
RILDO SANTOS SOUZA,1600
RIVAILTON RIBEIRO VELOSO DA SILVA,17347
RONALDO DE CERQUEIRA,4026
ROQUE MENEZES DIAS,1854
SINVAL MOTA MASCARENHAS,2889
VALDER ANDRADE CARVALHO,367
JOSÉ CARLOS CINTRA,1833
ACELINO FREITAS,55784
ADALBERTO SOUZA GALVÃO,28734
AFONSO BANDEIRA FLORENCE,140288
AMAURI SANTOS TEIXEIRA,93812
ANTONIO JAQUES COSTA DOS REIS,4950
DOMINGOS LEONELLI NETTO,37130
EDMO DEL REI LIMA,4483
ELVE CARDOSO PONTES,4598
EMILIANO JOSÉ DA SILVA FILHO,84918
FELIX DE ALMEIDA MENDONÇA JUNIOR,90854
GERALDO SIMÕES DE OLIVEIRA,118212
JAIRO ALFREDO OLIVEIRA CARNEIRO,22356
JAMAL YOUSSEF AMAD,6078
JORGE LUIS ARAUJO COSTA,6445
JOSE CARLOS DE JESUS RODRIGUES,20220
JOSE CARLOS LEAO DE ARAUJO,211128
JOSE FRANCISCO DA SILVA,5491
JOSEPH WALLACE FARIA BANDEIRA,32377
JOSIAS GOMES DA SILVA,115345
JOSÉ EDUARDO VIEIRA RIBEIRO,126781
JOSÉ LUIZ RESSURREIÇÃO DOS SANTOS,3131
JOSÉ PAULO CRISÓSTOMO FERREIRA,3688
JOÃO BATISTA OLIVEIRA SOUZA,2387
JOÃO FELIPE DE SOUZA LEÃO,233554
JOÃO LUIZ CORREIA ARGÔLO DOS SANTOS,73095
JUSSARA MARCIA DO NASCIMENTO,39519
LAZARO SILVA DE JESUS,2070
LUIZ ALBERTO SILVA DOS SANTOS,301597
LUIZ SERGIO SUZARTE ALMEIDA,17734
MARCOS ANTONIO MEDRADO,105664
MARIA LUCIA DE SANTANA GUTEMBERG,4961
MÁRCIO CARLOS MARINHO,44035
MÁRIO SILVIO MENDES NEGROMONTE,91463
NELSON VICENTE PORTELA PELLEGRINO,360330
NILO ROSA DOS SANTOS,9619
NIVALDO TEIXEIRA LIMA FILHO,6005
OZIEL ALVES DE OLIVEIRA,58040
RAIMUNDO NONATO TANURI BENTO,968
ROBERTO PEREIRA DE BRITTO,79477
RUI COSTA DOS SANTOS,260741
SERGIO BARRADAS CARNEIRO,83493
ULDURICO ALVES PINTO,20813
VALDEMAR MARTINHO HORTA JUNIOR,2074
VALMIR CARLOS DA ASSUNÇÃO,236076
VASCO DA COSTA QUEIROZ,4275
VERONICA MAUADIE DE ALMEIDA,4124
WALDENOR ALVES PEREIRA FILHO,160046
WASHINGTON LUIZ AIRES VELOSO,5997
DANIEL GOMES DE ALMEIDA,144467
ALICE MAZZUCO PORTUGAL,85287
EDSON SAMPAIO PIMENTA,99667
JOÃO BOSCO BITTENCOURT,41400
FILADELFO PINTO MEIRELES NETO,13889
LOURIVAL MANOEL DO BONFIM,1083
SELMA CRISTINA FERREIRA SILVA,1753
JONATAS THIAGO DE SOUZA,393
ANTONIO JORGE GOMES DE OLIVEIRA,2837
LUIZ BARBOSA DE DEUS,86176
ADLER PRIMEIRO DAMASCENO GIRAO,6500
ALLENDE GUEDES FERREIRA,2872
ANTONIO MARCELO TEIXEIRA SOUSA,63341
MANOEL BARBOSA NETO,1740
MARIA GORETE PEREIRA,60521
OCELIO GOMES DA ROCHA,1985
PEDRO RIBEIRO FILHO,60816
VICENTE FERREIRA DE ARRUDA COELHO,37714
AIRTON DE ALMEIDA OLIVEIRA,5662
ANIBAL FERREIRA GOMES,132275
ANTONIO BALHMANN CARDOSO NUNES FILHO,129578
ANTONIO LUIZ DE ARAUJO MENEZES,17206
ANTÔNIO EUDES XAVIER,101455
ARTUR JOSÉ VIEIRA BRUNO,91585
CARLOS MAURO CABRAL BENEVIDES,140492
DOMINGOS GOMES DE AGUIAR NETO,128791
EDSON DA SILVA,10696
ENIA MARIA PINHEIRO,1148
FLORENCIO NUNES NETO,32400
FLÁVIO BEZERRA DA SILVA,69466
FRANCISCO ADEGILDO FERRER,2007
FRANCISCO ARIOSTO HOLANDA,94046
FRANCISCO DANILO BASTOS FORTE,128723
FRANCISCO LOPES DA SILVA,175267
GENECIAS MATEUS NORONHA,101298
JOAO ANANIAS VASCONCELOS NETO,181460
JOSE GERARDO CORRÊA DE ARRUDA,56823
JOSE GERARDO OLIVEIRA DE ARRUDA FILHO,8875
JOSÉ AIRTON FELIX CIRILO DA SILVA,86460
JOSÉ ILÁRIO GONÇALVES MARQUES,156302
JOSÉ NOBRE GUIMARÃES,246827
MARIO FEITOZA DE CARVALHO FREITAS,158656
PAULO HENRIQUE ELLERY LUSTOSA DA COSTA,116075
RAIMUNDO ANTONIO DE MACEDO,134121
RAIMUNDO OMAN CARNEIRO FILHO,54519
ANTONIO DELLANI FREIRE DE LIMA,4699
DERMERVAL DA CUNHA SILVA NETO,6845
EUGENIO RABELO,47720
FRANCISCO EDSON LOPES DA SILVA,895
FRANCISCO JOSE CAMINHA ALMEIDA,87737
JOSE ARNON CRUZ BEZERRA DE MENEZES,113162
JOSE LINHARES PONTE,70269
RIBAMAR VIANA DA SILVA,3280
VERONICA DO AMARAL MADEIRO BATISTA,714
WALTER LIMA FROTA CAVALCANTE,68747
JORGE LUIZ RIBEIRO GONZAGA,2678
DANILO PINHEIRO GUERRA,1486
FRANCISCA ELETICE RODRIGUES,645
JOSE DOMINGUES ALVES GUIMARAES,817
JOSE VANDIR SOUSA SILVA,362
MARCUS RAIMUNDO CARVALHO DA SILVA FILHO,6870
MARIO TAVARES GURJAO,2805
ZAUDIVAR FELIX DE ALMEIDA,2469
ANTONIO IDALMIR CARVALHO FEITOSA,20760
CARLOS MATOS LIMA,129791
FRANCISCO ALMINO LEITE DE MENEZES,3082
JOÃO BATISTA GOMES MOTA,2675
MANOEL SALVIANO SOBRINHO,103499
MARIA LAUDECY FERREIRA DE CARVALHO,1839
RAIMUNDO GOMES DE MATOS,132918
TOMAS ANTONIO ALBUQUERQUE DE PAULA PESSOA FILHO,32937
FRANCISCO DUARTE RODRIGUES,1317
JOSÉ LUCIANO MUNIZ LIMA,5825
RENATO ROSENO DE OLIVEIRA,11496
YURI NUNES PAIVA,1340
FRANCISCO LAÉLIO DE OLIVEIRA BEDÊ,5771
FRANCISCO TAILSON PINHEIRO,453
RAIMUNDO FREIRE DE BRITO,2216
FRANCISCO JULIENIO LIMA VASCONCELOS,2315
FRANCIMAR DE OLIVEIRA BEZERRA,790
JOSE CLAYTON FERNANDES,753
CEZARIO NETO OLIVEIRA,1898
FRANCISCO FERREIRA DA SILVA,2190
ANDRÉ PEIXOTO FIGUEIREDO LIMA,55339
FRANCISCO DE ASSIS REIS OLIVEIRA,22170
NESTOR BEZERRA,2756
PAULO ROBERTO NEVES PEREIRA,7390
MARIA ELIANE DO NASCIMENTO,301
MARIA LEIDES SILVA ARAUJO,1005
MARIA DE FATIMA BEZERRA SILVA,508
VIVIANE FORTES DE CERQUEIRA,1269
ANTONIO ATILANO SOUSA AYRES DE MOURA,2416
FRANCISCA NASCIMENTO DE ALBUQUERQUE,358
JOSE GONCALVES DE ALMEIDA,1101
SILVIO SOARES FILHO,1118
ALEXANDRE TEIXEIRA GRIPP,647
JOSE GILBERTO HARTMANN,681
JOSÉ JACQUES OLIVEIRA DE MEDEIROS,249
WELLINGTON ANDRADE RODRIGUES,1409
MARIA MADALENA DA SILVA CARNEIRO,690
THIAGO PEREIRA BERTO,1899
OSMAR DOS SANTOS SILVA,685
PAULO DA FONSECA ALVES PEREIRA,968
ANTONIO JOSÉ PEREIRA GARCIA,22614
GEORGIOS STAIKOS TZEMOS,16176
JADER CORRÊA DE SÁ,3487
JADIR NEIVA,3095
JOSÉ MARIA PARENTE ALBUQUERQUE,1029
JOSÉ MESSIAS DE SOUZA,32490
JOSÉ RICARDO MARQUES,8774
LIDIA SOARES DA MATA,1259
LUIZ CARLOS PIETSCHMANN,73626
MAURO ROGERIO GOMES PESSANHA,6288
NEVITON PEREIRA JUNIOR,7329
PAULO FERNANDO RAMOS SEREJO,11597
PAULO FERNANDO MELO DA COSTA,3170
PAULO ROBERTO BRAVO,2987
RICARDO DA FONSECA MARTINS,7791
RICARDO QUIRINO DOS SANTOS,19319
WALTER NEI VALENTE,3735
ARTHUR KLEBER CARDOSO,677
AURICELIO VIANA MORAIS,1993
CLEUSA MARIA COELHO DE SOUZA,797
JOSE OSCAR DA SILVA,7063
MARIO ANTONIO SALLENAVE FILHO,1081
RENES MAURO DE SOUZA,883
ADELMIR ARAUJO SANTANA,28811
ALEXANDRE LUIS HORTA VIANNA,928
ANA BEATRIZ CANELHAS ECHART DE ABREU,164
ANTONIO CARLOS CASSIANO SILVA,421
ANTONIO CÉSAR SANTANA,2573
CLARINDO CARLOS DA ROCHA,1911
GILVANDO GALDINO FERNANDES,387
IZALCI LUCAS FERREIRA,33766
JAQUELINE MARIA RORIZ,44620
LAERTE RODRIGUES DE BESSA,7781
LUDMILA DE FARO NAZARETH PASSOS,1277
MARGARIDA MARIA REGIS DE ALMEIDA,1029
MARISTELLA DAHER,367
PEDRO MAURINO CALMON MENDES,1502
ROBERTO EDUARDO VENTURA GIFFONI,5147
RONALDO FONSECA DE SOUZA,20369
VIRGILIO DO REGO MONTEIRO NETO,4569
WEBER DE AZEVEDO MAGALHAES,463
ANDRÉ RODOLFO DE LIMA,12768
JOYCE MATIAS SILVA LIMA SOUSA,344
RODOLFO MARCIO LAPA BONTEMPO,2181
WELLINGTON MOREIRA DE JESUS,864
AUGUSTO SILVEIRA DE CARVALHO,38836
ERIKA JUCA KOKAY,32815
GASTÃO JOSE DE OLIVEIRA RAMOS,6597
GERALDO MAGELA PEREIRA,89999
IZAIAS SOARES PEREIRA,5030
JOAO MARIA MEDEIROS DE OLIVEIRA,6421
JOAQUIM RODRIGUES DOS SANTOS FILHO,1307
JOSE ANTONIO MACHADO REGUFFE,9587
PAULO TADEU VALE DA SILVA,96682
ROBERTO POLICARPO FAGUNDES,48514
IDACY ARAUJO LOUZEIRO FILHA,427
RENATO MIRANDA ROCHA,373
ABEL SANT'ANNA JUNIOR,33195
ADEMIR ANTONIO FREITAS DA SILVA,2245
BRAZ BARROS DA SILVA,17695
CARLOS HUMBERTO MANNATO,131371
DILCEA MARVILA DE OLIVEIRA,7950
EMERSON GONÇALVES DA ROCHA,12004
EMILIO HORTLEB MOREIRA COIMBRA,4152
ENILDA MARTINS DE ARAUJO,14251
FABIO LUBE RANGEL,17402
JOAO LUIZ DA CUNHA TEIXEIRA,5012
JORGE SILVA,121879
JUDSON JORGE DIAS MONTEIRO,5785
JURANDY LOUREIRO BARROSO,95278
LAURIETE RODRIGUES DE ALMEIDA,71767
LEDIR DA SILVA PORTO,63450
MARCUS ANTONIO VICENTE,156577
NODIR BATISTA DE MELLO COLOMBO,5522
RAFAEL FAVATTO GARCIA,106236
REGINA DE CASSIA CARDOZO PEDRONI,4675
ROSELY MARIA SANTOS PISSINATTI,1424
SUELI RANGEL SILVA VIDIGAL,276615
ADRIANO FRANCISCO ROCHA,1798
RENAN GUIMARÃES ESCOPELI GOMES,1162
ALECSANDRO MOREIRA DOS SANTOS,3184
AUDIFAX CHARLES PIMENTEL BARCELOS,97190
CAMILO COLA,128525
EDSON WILSON BERNARDES FRANCA,20976
FABIANO ELIAS VIEIRA,8501
FRANCISCO TARCISIO SILVA,9926
GUILHERME NARCISO DE LACERDA,125403
IRINY NICOLAU CORRES LOPES,223626
JOABE SILVA DE OLIVEIRA,2507
LAZARO COSTALONGA SILOTTI,10852
LUCINIO CASTELO DE ASSUMCAO,37068
MANOEL RODRIGUES DA VITORIA,24963
MARCIA ALMEIDA MACHADO,8855
MAXWELL DE SOUSA OLIVEIRA,1406
MOIZES DE SOUZA,2120
PAULO ROBERTO FOLETTO,85333
RICARDO ROSETTI CONDE,19079
ROSILDA DE FREITAS,153043
WELINGTON COIMBRA,207541
WILSON RAMOS FILHO,5622
JAILSON BARBOSA,23242
GUSTAVO DE BIASE NUNES DA ROCHA,1303
FABRICIO PASSOS COELHO,2330
AFONSO RODRIGUES PEREIRA FILHO,61547
CARLOS MAGNO CANAL,7751
CESAR ROBERTO COLNAGHI,170884
FRANZ TRISTAO DE ALMEIDA,3473
HELIOSANDRO MATTOS SILVA,16937
EFIGENIO BATISTA,3097
JOELMO PONTES,10796
MARIA ELIANA DADALTO MELO,11752
MAURICIO DOS SANTOS GALANTE,2407
MAX FREITAS MAURO FILHO,32253
PAULO CESAR GOMES,9359
GILBERTO CLEMENTINO DOS SANTOS,2519
GERALDO LUZIA DE OLIVEIRA JUNIOR,10837
ALCANTARO VICTOR LAZZARINI CAMPOS,9071
VALDIR RIBEIRO,1421
ALEXANDRE VALDO MAITAN,15888
DELIO PARRINI IGLESIAS,3664
EDSON DA FONSECA BASTOS,6309
LUIZ CARLOS COSTA,22501
GENARIO JOSE DA MATA,3606
VALDIVO PEREIRA PRATIS,1829
RALPH DE MENEZES LOBATO,4756
ANTONIO MOREIRA,3163
ALESSANDRO MENDONÇA CABRAL,10613
ANTONIO ALENCAR FILHO,13058
ANTONIO PEDRO DE CAMARGO,732
ARMANDO VERGÍLIO DOS SANTOS JÚNIOR,165542
ARTHUR MARIANO CELESTINO NETO,4268
CARLOS ALBERTO LEREIA DA SILVA,262506
DOMINGOS PAULA DE SOUZA,29240
HEULER ABREU CRUVINEL,178060
JOAO CAMPOS DE ARAUJO,111782
JORGE DOS REIS PINHEIRO,82435
JOVAIR OLIVEIRA ARANTES,298217
LEONARDO MOURA VILELA,199809
MAGDA MOFATTO HON,60094
MARCELO DE MELO METSAVAHT,2448
MIRIAN GARCIA SAMPAIO PIMENTA,41919
RAIMUNDO NONATO VIEIRA FONTENELE,2498
RICARDO RIBEIRO ALVES,661
RONALDO RAMOS CAIADO,384605
SAMUEL GUILSIMAR ALMEIDA,124168
THIAGO MACHADO MATIAS,3459
VALDIVINO JOSE DE OLIVEIRA,118072
VETER MARTINS MORAIS,127203
VILMAR DA SILVA ROCHA,98276
WALDIR DA SILVA CAMELO,7479
WALDIR SOARES DE OLIVEIRA,8163
CARLOS LUIZ MACHADO DE BRITO,3159
DARIO ALVES PAIVA NETO,33160
